ts_ns,pid,latency_ns
148242845444,959,0
148243561982,962,393266
148243596578,229,4882
148243787572,962,0
148243805336,963,1351794
148244510506,229,398890
148244542536,43,2917
148244618785,229,0
148244626224,963,0
148244657862,959,0
148244747946,961,0
148245832948,43,238361
148245925648,959,804807
148245979863,960,0
148247331577,55,582726
148247371506,43,3799
148247543403,55,0
148247552606,963,816536
148248535265,11,12612
148248778167,43,845929
148248889043,959,2566249
148249800645,43,518066
148249915500,963,0
148249970687,959,0
148250084600,961,0
148251710795,16,13633
148251721973,229,586205
148251992204,962,249429
148253310596,43,1131087
148253421822,229,730162
148253473380,959,2955525
148253557779,963,1819766
148253892500,959,9153
148253934023,962,0
148255925277,16,11278
148255934941,43,512623
148256260829,959,1745371
148256337389,960,0
148257388829,43,428905
148257493909,959,808947
148257567252,960,0
148258927766,55,311874
148258972186,43,5263
148259911046,55,0
148259927467,959,1831766
148260016929,961,0
148261430116,16,10306
148261441384,229,520322
148261462697,959,977907
148261529262,963,72159
148261807091,959,7348
148261834971,963,0
148262302431,959,196929
148262330911,962,0
148262627277,11,4632
148262823203,959,231505
148263594708,963,0
148263855745,962,0
148263869269,229,4090
148264036073,962,0
148264048815,11,3690
148264938633,229,253309
148264964467,43,33413
148265407777,11,0
148265422995,962,0
148265436188,959,1585956
148266017380,43,207084
148266374617,959,0
148266899810,55,206142
148266924381,43,3008
148267053090,55,0
148267806300,43,231214
148267892082,960,0
148268910580,229,408223
148268931813,55,0
148268937918,959,0
148269018307,962,90564
148269562739,43,6817
148269679699,963,0
148269709392,961,0
148270900438,43,457305
148271008366,962,0
148271050300,11,5544
148271121116,962,0
148271135682,229,4982
148271182348,962,0
148271191120,959,1848027
148271230367,960,0
148272228514,43,444954
148273293096,229,430117
148273340383,43,0
148273440402,959,581413
148273567768,963,1795677
148274677995,43,234181
148274827025,959,789419
148274888909,962,2047454
148275906715,55,240387
148275930714,43,3017
148276813104,55,0
148276821425,959,1555661
148276874697,961,0
148277957707,229,238732
148277972574,959,712288
148278014248,960,0
148278499392,959,195335
148278527150,960,0
148278777181,959,5423
148278797301,963,0
148279274786,959,183917
148279297111,962,0
148279583562,959,5684
148279604945,963,0
148279857061,959,5323
148279877231,960,0
148280348611,959,185771
148280376520,962,0
148280635593,959,5243
148280655663,963,0
148280906215,961,0
148295140610,16,10015
148295150595,11,775906
148295158765,962,0
148295182544,229,4030
148295380756,962,0
148295389167,959,14488236
148295497365,960,0
148296186786,229,400975
148296220360,43,3539
148296297411,229,0
148296306644,963,0
148296345741,11,4732
148296444225,963,0
148296457438,960,0
148297362033,43,387351
148297450763,960,0
148298398696,43,415401
148298578953,55,602054
148299272845,43,4060
148299448712,11,602115
148299884663,43,194572
148299960482,11,0
148299993504,55,0
148299999980,960,0
148301351950,229,709238
148301383047,959,5601025
148301407798,229,11147
148301624506,959,0
148301643132,960,0
148302381174,229,445295
148302435118,43,4812
148302533462,960,0
148303775113,43,422709
148303873548,962,2497218
148303922048,963,5082739
148303937486,959,2005537
148304116831,960,0
148305406121,16,7799
148305412878,43,474708
148305490049,55,559538
148305511823,43,2726
148305521748,55,0
148305526319,960,0
148306448819,43,393126
148306573258,960,0
148307352872,43,463931
148307431187,960,0
148308417083,229,434979
148308609681,962,2560604
148308643225,11,6506
148308656277,25,7489
148309618896,229,643046
148310330081,43,4311
148310404536,229,0
148310409969,11,0
148310442169,962,0
148310476825,959,5959169
148310665894,963,2223819
148311642408,43,382760
148311771799,959,792056
148311837893,963,0
148312845894,43,250231
148313750700,55,1161984
148313772654,43,2777
148313890396,55,0
148313898025,959,1713883
148314576469,43,375412
148314694552,959,0
148314768887,960,0
148315986348,229,540582
148316013084,962,5904
148316044242,43,4401
148316401939,962,0
148316414731,963,0
148316457427,11,6195
148316518499,963,0
148316529325,229,3548
148317347676,43,430739
148317502902,962,595097
148318277294,229,0
148318439636,963,0
148318455115,959,3371568
148319275461,229,433266
148319319069,43,3318
148319395328,229,0
148319402656,959,0
148319528759,962,0
148320535558,43,387281
148320619556,960,0
148321635929,55,388164
148321659367,43,2607
148321784968,55,0
148321792387,959,1921088
148322519141,43,430429
148322595480,959,0
148322663830,962,0
148322936957,960,0
148323746567,43,381136
148323825533,229,468764
148323845402,963,4983
148323878043,960,0
148324775199,43,382328
148324853774,959,1940185
148324920921,962,535369
148325911710,963,230843
148325943669,11,5123
148326790601,963,0
148326823122,229,4241
148327642285,43,4652
148327715366,229,0
148327723095,963,0
148327738353,959,2458491
148327808577,962,0
148328783727,43,204367
148328871866,959,732748
148328926231,960,0
148329851818,55,231525
148329874675,43,2617
148330720574,55,0
148330728293,959,1507992
148330780783,962,0
148331772314,229,252426
148331792183,959,736106
148331834629,963,47448
148332314129,43,6266
148332397486,959,287755
148332429234,963,0
148332784215,959,8120
148332829758,963,0
148335190379,16,12772
148335203181,959,1593224
148335271440,962,0
148335673034,959,6165
148335707460,960,0
148344235584,16,11950
148344247704,959,8284790
148344316385,961,0
148345189501,962,0
148345228268,959,633984
148345257931,961,0
148346223758,11,1000753
148346411234,963,0
148347106178,43,7248
148347181174,962,778642
148347199029,959,1671679
148347246236,961,0
148348460519,229,1268909
148348645468,11,224858
148348667593,55,6817
148349561241,229,404504
148349608929,43,3148
148349690431,229,0
148349700557,963,0
148349737037,11,4160
148349779492,963,0
148349788625,959,2286063
148349936502,55,0
148351620834,16,6365
148351628604,43,276396
148351718467,961,0
148352689757,43,395592
148353676333,963,264666
148353694809,959,3117254
148353752412,961,0
148394329121,55,0
148395861855,16,1542257
148395877885,43,32581
148397647210,16,20942
148397659300,43,0
148397812738,11,3556837
148397833099,959,43796913
148397934379,960,0
148399516153,16,14977
148399528063,229,609715
148399797628,960,0
148400719704,229,522921
148400798168,43,5233
148400934625,229,0
148400944559,960,0
148402199246,43,419786
148402289249,960,0
148403212257,55,395085
148403237580,43,3960
148403892216,960,0
148404914258,229,383947
148404937927,960,0
148406141711,16,10857
148406152948,960,0
